Order Date,Order ID,Payment Instrument Type,Website,Purchase Order Number,Ordering Customer Email,Shipment Date,Shipping Address Name,Shipping Address Street 1,Shipping Address Street 2,Shipping Address City,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged,Buyer Name,Group Name
11/24/16,108-1669561-3533814,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/27/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,AMZN_US(TBA124654157000),$12.59,$0.00,$1.21,$0.00,$1.21,$13.80,James,
11/25/16,114-9089436-1529869,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/28/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,UPS(1Z1A00R60206200926),$159.96,$0.00,$15.36,$0.00,$15.36,$175.32,James,
11/25/16,114-6645564-1908226,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/26/16,Grandpa Chachi,42 Dolphins Rd.,,Cheech,MN,12312,Shipped,UPS(1Z3Y62E90220424521),$39.99,$0.00,$0.00,$0.00,$0.00,$43.48,James,
11/25/16,114-7136412-1475444,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/27/16,Beam Boom,125 Something Drive,,Quahog,ME,01232,Shipped,UPS(1Z3Y62E90220609920),$39.99,$0.00,$0.00,$0.00,$0.00,$43.48,James,
11/25/16,115-9035652-6603413,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/27/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,AMZN_US(TBA124654157000),$39.99,$0.00,$3.84,$0.00,$3.84,$43.83,James,
11/25/16,115-8315610-0402607,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/26/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,USPS(9361289674090151771897),$6.50,$0.00,$0.62,$0.00,$0.62,$7.12,James,
11/27/16,108-4285757-0419456,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/28/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,USPS(9374889674090120240245),$16.99,$0.00,$1.63,$0.00,$1.63,$18.62,James,
11/27/16,114-9689798-6968215,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/27/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,USPS(9374889674090120209389),$5.79,$0.00,$0.00,$0.00,$0.00,$5.79,James,
11/27/16,114-4267328-3179441,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/28/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,UPS(1Z098AW10289913948),$28.94,$0.00,$0.00,$0.00,$0.00,$28.94,James,
11/27/16,108-5036362-2711460,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/28/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,USPS(9361289674090153956179),$33.98,$0.00,$0.00,$0.00,$0.00,$33.98,James,
11/28/16,106-4882357-1400242,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/29/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipping soon,,$16.20,$0.00,$0.00,$0.00,$0.00,$16.20,James,
11/28/16,106-4882357-1400242,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/29/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipping soon,,$13.99,$0.00,$1.34,$0.00,$1.34,$15.33,James,
11/29/16,106-0890078-6789009,"American Express - 4242",Amazon.com,,hoohah@hotmail.com,11/29/16,James Hart,123 Sesame St.,,Seattle,WA,98166,Shipped,USPS(9361289674090154580687),$57.70,$0.00,$5.54,$0.00,$5.54,$63.24,James,
